日期,证券代码,证券名称,买卖方向,成交价格,成交数量,成交金额
20240424,300430,诚益通,买入,16.05,65000,1043200.00
20240424,300350,华鹏飞,买入,5.30,131300,695890.00
20240424,603017,中衡设计,买入,10.16,60500,614680.00
20240424,000628,高新发展,卖出,39.99,-23100,-923879.88
20240425,300900,广联航空,买入,33.02,45400,1498987.26
20240425,300696,爱乐达,买入,14.41,39700,572077.00
20240425,300430,诚益通,卖出,16.87,-65000,-1096254.09
20240425,300350,华鹏飞,卖出,5.48,-131300,-719524.00
20240426,300520,科大国创,买入,18.10,71700,1297450.65
20240426,002253,川大智胜,买入,11.84,56100,664106.19
20240426,688070,纵横股份,买入,46.42,25001,1160536.10
20240426,003029,吉大正元,买入,23.91,14400,344304.00
20240426,300696,爱乐达,卖出,14.40,-39700,-571755.43
20240426,300900,广联航空,卖出,33.37,-45400,-1514795.97
20240426,603017,中衡设计,卖出,15.03,-60500,-909315.00
20240429,300180,华峰超纤,买入,4.23,273700,1158819.56
20240429,834415,恒拓开源,买入,8.52,106802,910480.26
20240429,603079,圣达生物,买入,10.80,92900,1003573.05
20240429,688070,纵横股份,卖出,44.35,-25001,-1108686.31
20240429,300520,科大国创,卖出,20.83,-71700,-1493220.54
20240429,003029,吉大正元,卖出,23.85,-14400,-343421.28
20240430,000555,神州信息,买入,13.60,91600,1245357.32
20240430,603232,格尔软件,买入,15.93,17300,275589.00
20240430,834415,恒拓开源,卖出,8.60,-106802,-918143.98
20240430,603079,圣达生物,卖出,11.47,-92900,-1065770.25
20240430,002253,川大智胜,卖出,14.89,-56100,-835581.45
20240430,300180,华峰超纤,卖出,4.01,-273700,-1097537.00
20240506,688578,艾力斯,买入,63.01,19546,1231593.46
20240506,002253,川大智胜,买入,11.16,90000,1004400.00
20240506,603232,格尔软件,买入,15.15,115300,1747228.00
20240506,000555,神州信息,卖出,13.36,-91600,-1224032.76
20240506,603232,格尔软件,卖出,14.41,-17300,-249293.00
20240507,603232,格尔软件,买入,14.00,66500,931000.00
20240507,300698,万马科技,买入,35.37,31200,1103513.76
20240507,002253,川大智胜,卖出,12.13,-90000,-1091328.00
20240507,688578,艾力斯,卖出,67.00,-19546,-1309511.06
20240507,603232,格尔软件,卖出,14.12,-115300,-1628036.00
20240508,300890,翔丰华,买入,32.05,44600,1429356.60
20240508,000710,贝瑞基因,买入,9.57,132300,1265721.16
20240508,300698,万马科技,买入,36.58,43000,1572953.76
20240508,603232,格尔软件,卖出,13.79,-66500,-917187.44
20240508,300698,万马科技,卖出,36.50,-31200,-1138684.56
20240509,603928,兴业股份,买入,14.26,60000,855600.00
20240509,300520,科大国创,买入,21.87,34700,758732.85
20240509,000710,贝瑞基因,卖出,9.43,-132300,-1247799.71
20240509,300698,万马科技,卖出,34.27,-43000,-1473544.24
20240509,300890,翔丰华,卖出,33.68,-44600,-1502132.46
20240510,603232,格尔软件,买入,14.07,100600,1415421.88
20240510,688631,莱斯信息,买入,78.11,13000,1015430.00
20240510,600961,株冶集团,买入,11.00,87800,965361.00
20240510,003029,吉大正元,买入,27.86,26200,729901.90
20240510,603928,兴业股份,卖出,13.05,-60000,-783064.77
20240510,300520,科大国创,卖出,22.83,-34700,-792114.25
20240513,603232,格尔软件,卖出,12.70,-100600,-1277515.89
20240513,600961,株冶集团,卖出,10.90,-87800,-957010.21
20240513,003029,吉大正元,卖出,25.00,-26200,-655000.00
20240513,688631,莱斯信息,卖出,73.58,-13000,-956560.80
20240514,002166,莱茵生物,买入,9.68,100000,967960.00
20240514,603739,蔚蓝生物,买入,18.07,50000,903385.00
20240514,001316,润贝航科,买入,35.19,28200,992466.00
20240515,603739,蔚蓝生物,卖出,16.98,-50000,-848764.08
20240515,001316,润贝航科,卖出,35.80,-28200,-1009565.64
20240516,600489,中金黄金,买入,14.85,70000,1039500.00
20240516,002166,莱茵生物,卖出,8.57,-100000,-857000.00
20240517,000697,炼石航空,买入,7.61,135700,1032677.00
20240517,300776,帝尔激光,买入,45.11,18100,816413.17
20240517,300394,天孚通信,买入,141.00,4000,564000.00
20240517,300554,三超新材,买入,22.11,9600,212256.00
20240517,600489,中金黄金,卖出,14.56,-70000,-1019200.00
20240520,300775,三角防务,买入,34.70,30000,1041084.00
20240520,300074,华平股份,买入,4.18,66300,276961.62
20240520,300554,三超新材,卖出,28.55,-9600,-274080.00
20240520,300394,天孚通信,卖出,139.90,-4000,-559611.20
20240520,300776,帝尔激光,卖出,54.98,-18100,-995197.73
20240520,000697,炼石航空,卖出,9.04,-135700,-1226728.00
20240521,300775,三角防务,卖出,34.49,-30000,-1034738.36
20240522,600200,江苏吴中,买入,11.16,115100,1284516.00
20240522,000697,炼石航空,买入,8.40,121800,1023680.28
20240522,300074,华平股份,卖出,3.99,-66300,-264537.00
20240523,603967,中创物流,买入,9.88,189300,1869777.87
20240523,601008,连云港,买入,3.88,491900,1909313.00
20240523,600200,江苏吴中,卖出,10.65,-115100,-1226072.00
