日期,成交时间,证券代码,证券名称,买卖方向,成交价格,成交数量,成交金额
20241213,10:30:00,839493,并行科技,买入,69.25,52624,3644277.89
20241213,10:30:00,300177,中海达,买入,16.68,228200,3806376.00
20241213,:00,000795,英洛华,卖出,11.30,-241400,-2727820.00
20241213,:00,300442,润泽科技,卖出,49.89,-182800,-9120111.36
20241216,:00,839493,并行科技,卖出,69.70,-52624,-3667641.53
20241216,10:30:00,300442,润泽科技,买入,47.10,115300,5430426.50
20241216,:00,300177,中海达,卖出,16.01,-228200,-3652546.38
20241216,10:30:00,002843,泰嘉股份,买入,21.26,91500,1945225.95
20241216,10:30:00,002103,广博股份,买入,14.73,333300,4909509.00
20241217,:00,002103,广博股份,卖出,14.55,-333300,-4849710.36
20241217,:00,000759,中百集团,卖出,8.70,-500000,-4350000.00
20241217,:00,300442,润泽科技,卖出,46.52,-115300,-5363179.50
20241217,10:30:00,601933,永辉超市,买入,6.88,1000000,6880000.00
20241217,:00,002843,泰嘉股份,卖出,19.51,-91500,-1785414.60
20241218,:00,601933,永辉超市,卖出,6.50,-1000000,-6502600.00
20241219,10:30:00,000802,北京文化,买入,7.59,433300,3287403.00
20241219,10:30:00,603103,横店影视,买入,15.32,88200,1351224.00
20241219,10:30:00,300442,润泽科技,买入,50.07,85200,4266250.00
20241219,10:30:00,839493,并行科技,买入,63.90,70563,4509275.77
20241219,10:30:00,600645,中源协和,买入,21.45,658200,14118085.24
20241219,10:30:00,300238,冠昊生物,买入,14.13,332900,4704322.90
20241220,:00,600645,中源协和,卖出,21.34,-658200,-14045548.81
20241220,:00,300238,冠昊生物,卖出,14.05,-332900,-4677940.70
20241220,:00,300442,润泽科技,卖出,57.48,-85200,-4897296.00
20241220,10:30:00,688256,寒武纪,买入,645.90,14283,9225388.30
20241220,:00,839493,并行科技,卖出,69.85,-70563,-4928825.48
20241223,10:30:00,688571,杭华股份,买入,7.59,336200,2552406.00
20241223,:00,603103,横店影视,卖出,15.31,-88200,-1350606.60
20241223,:00,000802,北京文化,卖出,6.86,-433300,-2970790.57
20241223,10:30:00,002281,光迅科技,买入,56.77,100700,5717163.80
20241223,:00,688256,寒武纪,卖出,648.82,-14283,-9267143.31
20241224,:00,688571,杭华股份,卖出,7.78,-336200,-2614602.01
20241224,10:30:00,002307,北新路桥,买入,4.41,1000000,4410000.00
20241224,10:30:00,603777,来伊份,买入,14.62,597700,8739769.56
20241224,:00,002281,光迅科技,卖出,56.30,-100700,-5669410.00
20241225,:00,002307,北新路桥,卖出,4.80,-1000000,-4800000.00
20241225,10:30:00,000810,创维数字,买入,16.00,316300,5060800.00
20241225,10:30:00,301110,青木科技,买入,73.03,3900,284817.00
20241225,10:30:00,300793,佳禾智能,买入,22.08,675000,14900737.50
20241226,10:30:00,603777,来伊份,买入,16.30,48800,795440.00
20241226,:00,000810,创维数字,卖出,17.64,-316300,-5580101.34
20241226,:00,300793,佳禾智能,卖出,21.77,-675000,-14697651.56
20241226,:00,301110,青木科技,卖出,75.49,-3900,-294425.04
20241226,:00,603777,来伊份,卖出,16.26,-597700,-9720827.87
20241227,10:30:00,603777,来伊份,买入,14.81,250000,3702500.00
20241227,10:30:00,002577,雷柏科技,买入,20.15,446300,8994121.28
20241227,10:30:00,600580,卧龙电驱,买入,18.70,385500,7208850.00
20241230,:00,600580,卧龙电驱,卖出,19.75,-385500,-7613625.00
20241230,10:30:00,002045,国光电器,买入,22.75,235600,5359900.00
20241230,10:30:00,002577,雷柏科技,买入,21.54,63700,1372098.00
20241230,:00,002577,雷柏科技,卖出,20.89,-446300,-9321184.98
20241230,:00,603777,来伊份,卖出,14.10,-298800,-4211813.17
20241231,:00,002577,雷柏科技,卖出,20.07,-63700,-1278325.94
20241231,10:30:00,300548,博创科技,买入,46.50,75000,3487357.50
20241231,10:30:00,603286,日盈电子,买入,20.59,35400,728886.00
20241231,:00,002045,国光电器,卖出,22.57,-235600,-5317038.00
